job_id,job_category,technician_id,technician_name,skill_match,active_jobs,assigned
job_1,Windows,0eu8Twyp10PGYAJ8t8hi,Tech2,0,0,0
job_1,Windows,E8OtddEWB5N4ifH8jIhA,Tech9,0,0,0
job_1,Windows,G7QDhGMm6MztW4bre7oU,Tech6,0,1,0
job_1,Windows,O91QytPZctl4RP0C3kUC,Tech3,0,0,0
job_1,Windows,QCDF0TeSocfQC01yE4gc,Tech11,0,1,0
job_1,Windows,UcV9tyeIVkgq9zcqyhoz,Tech6,0,0,0
job_1,Windows,eNtPm0n7JgJORXe2AQ79,Tech1,0,0,0
job_1,Windows,kxlkaGmC1s8pOyfP0IMa,Tech7,0,2,0
job_1,Windows,n82HPwu9aaACdW1lCrZQ,Tech5,0,0,0
job_1,Windows,u6egYl3tZeqFiUHMOWuu,Tech4,0,0,0
job_1,Windows,wR09DieVJXtlzdzdE4I5,Tech10,1,3,0
job_1,Windows,wbAqpft0yMxVDS2Ax9Q2,Tech8,1,1,1
job_2,Kitchen Appliances,0eu8Twyp10PGYAJ8t8hi,Tech2,0,0,0
job_2,Kitchen Appliances,E8OtddEWB5N4ifH8jIhA,Tech9,1,0,1
job_2,Kitchen Appliances,G7QDhGMm6MztW4bre7oU,Tech6,1,1,1
job_2,Kitchen Appliances,O91QytPZctl4RP0C3kUC,Tech3,0,0,0
job_2,Kitchen Appliances,QCDF0TeSocfQC01yE4gc,Tech11,1,1,1
job_2,Kitchen Appliances,UcV9tyeIVkgq9zcqyhoz,Tech6,0,0,0
job_2,Kitchen Appliances,eNtPm0n7JgJORXe2AQ79,Tech1,0,0,0
job_2,Kitchen Appliances,kxlkaGmC1s8pOyfP0IMa,Tech7,0,2,0
job_2,Kitchen Appliances,n82HPwu9aaACdW1lCrZQ,Tech5,0,0,0
job_2,Kitchen Appliances,u6egYl3tZeqFiUHMOWuu,Tech4,0,0,0
job_2,Kitchen Appliances,wR09DieVJXtlzdzdE4I5,Tech10,0,3,0
job_2,Kitchen Appliances,wbAqpft0yMxVDS2Ax9Q2,Tech8,0,1,0
job_3,Kitchen Appliances,0eu8Twyp10PGYAJ8t8hi,Tech2,0,0,0
job_3,Kitchen Appliances,E8OtddEWB5N4ifH8jIhA,Tech9,1,0,1
job_3,Kitchen Appliances,G7QDhGMm6MztW4bre7oU,Tech6,1,1,1
job_3,Kitchen Appliances,O91QytPZctl4RP0C3kUC,Tech3,0,0,0
job_3,Kitchen Appliances,QCDF0TeSocfQC01yE4gc,Tech11,1,1,1
job_3,Kitchen Appliances,UcV9tyeIVkgq9zcqyhoz,Tech6,0,0,0
job_3,Kitchen Appliances,eNtPm0n7JgJORXe2AQ79,Tech1,0,0,0
job_3,Kitchen Appliances,kxlkaGmC1s8pOyfP0IMa,Tech7,0,2,0
job_3,Kitchen Appliances,n82HPwu9aaACdW1lCrZQ,Tech5,0,0,0
job_3,Kitchen Appliances,u6egYl3tZeqFiUHMOWuu,Tech4,0,0,0
job_3,Kitchen Appliances,wR09DieVJXtlzdzdE4I5,Tech10,0,3,0
job_3,Kitchen Appliances,wbAqpft0yMxVDS2Ax9Q2,Tech8,0,1,0
job_4,Furniture,0eu8Twyp10PGYAJ8t8hi,Tech2,0,0,0
job_4,Furniture,E8OtddEWB5N4ifH8jIhA,Tech9,0,0,0
job_4,Furniture,G7QDhGMm6MztW4bre7oU,Tech6,0,1,0
job_4,Furniture,O91QytPZctl4RP0C3kUC,Tech3,0,0,0
job_4,Furniture,QCDF0TeSocfQC01yE4gc,Tech11,0,1,0
job_4,Furniture,UcV9tyeIVkgq9zcqyhoz,Tech6,0,0,0
job_4,Furniture,eNtPm0n7JgJORXe2AQ79,Tech1,0,0,0
job_4,Furniture,kxlkaGmC1s8pOyfP0IMa,Tech7,1,2,1
job_4,Furniture,n82HPwu9aaACdW1lCrZQ,Tech5,0,0,0
job_4,Furniture,u6egYl3tZeqFiUHMOWuu,Tech4,0,0,0
job_4,Furniture,wR09DieVJXtlzdzdE4I5,Tech10,1,3,0
job_4,Furniture,wbAqpft0yMxVDS2Ax9Q2,Tech8,0,1,0
job_5,Kitchen Appliances,0eu8Twyp10PGYAJ8t8hi,Tech2,0,0,0
job_5,Kitchen Appliances,E8OtddEWB5N4ifH8jIhA,Tech9,1,0,1
job_5,Kitchen Appliances,G7QDhGMm6MztW4bre7oU,Tech6,1,1,1
job_5,Kitchen Appliances,O91QytPZctl4RP0C3kUC,Tech3,0,0,0
job_5,Kitchen Appliances,QCDF0TeSocfQC01yE4gc,Tech11,1,1,1
job_5,Kitchen Appliances,UcV9tyeIVkgq9zcqyhoz,Tech6,0,0,0
job_5,Kitchen Appliances,eNtPm0n7JgJORXe2AQ79,Tech1,0,0,0
job_5,Kitchen Appliances,kxlkaGmC1s8pOyfP0IMa,Tech7,0,2,0
job_5,Kitchen Appliances,n82HPwu9aaACdW1lCrZQ,Tech5,0,0,0
